phone_number,account_length,vmail_message,day_mins,day_calls,day_charge,eve_mins,eve_calls,eve_charge,night_mins,night_calls,night_charge,intl_mins,intl_calls,intl_charge,custserv_calls,churn,total_mins,total_calls,total_charge,day_mins_share,eve_mins_share,night_mins_share,intl_mins_share,avg_mins_per_call,Cluster
382-4657,128,25,265.1,110,45.07,197.4,99,16.78,244.7,91,11.01,10.0,3,2.7,1,False,717.2,303.0,75.56,0.36963190184049083,0.2752370329057445,0.3411879531511433,0.013943112102621304,2.366996699669967,0
371-7191,107,26,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7,1,False,625.2,332.0,59.24000000000001,0.2584772872680742,0.3126999360204734,0.40690978886756235,0.021912987843889953,1.883132530120482,0
358-1921,137,0,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29,0,False,539.4000000000001,333.0,62.290000000000006,0.4512421208750463,0.2246941045606229,0.30144605116796436,0.022617723396366328,1.6198198198198202,4
375-9999,84,0,299.4,71,50.9,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78,2,False,564.8,255.0,66.8,0.5300991501416431,0.10959631728045327,0.3486189801699717,0.011685552407932011,2.2149019607843137,4
330-6626,75,0,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73,3,False,512.0,359.0,52.089999999999996,0.3255859375,0.2896484375,0.3650390625,0.0197265625,1.426183844011142,4
391-8027,118,0,223.4,98,37.98,220.6,101,18.75,203.9,118,9.18,6.3,6,1.7,0,False,654.1999999999999,323.0,67.61,0.3414857841638643,0.33720574747783555,0.3116783858147356,0.00963008254356466,2.0253869969040244,4
355-9993,121,24,218.2,88,37.09,348.5,108,29.62,212.6,118,9.57,7.5,7,2.03,3,False,786.8000000000001,321.0,78.31,0.27732587697000505,0.4429334011184545,0.27020843924758514,0.009532282663955262,2.451090342679128,0
329-9001,147,0,157.0,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0,False,479.00000000000006,275.0,46.900000000000006,0.32776617954070975,0.21524008350730686,0.44217118997912314,0.014822546972860123,1.741818181818182,4
335-4719,117,0,184.5,97,31.37,351.6,80,29.89,215.8,90,9.71,8.7,4,2.35,1,False,760.6000000000001,271.0,73.32,0.24257165395740202,0.4622666316066263,0.2837233762818827,0.011438338154088875,2.8066420664206646,4
330-8173,141,37,258.6,84,43.96,222.0,111,18.87,326.4,97,14.69,11.2,5,3.02,0,False,818.2,297.0,80.53999999999999,0.31605964311904183,0.2713273038376925,0.39892446834514783,0.013688584698117817,2.754882154882155,0
329-6603,65,0,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43,4,True,579.1000000000001,337.0,54.2,0.222932136073217,0.3945777931272664,0.3605594888620272,0.021930581937489202,1.71839762611276,4
344-9403,74,0,187.7,127,31.91,163.4,148,13.89,196.0,94,8.82,9.1,5,2.46,0,False,556.2,374.0,57.08,0.3374685364976627,0.2937792161093132,0.3523912261776339,0.016361021215390147,1.4871657754010696,4
363-1107,168,0,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1,False,386.0,297.0,40.190000000000005,0.333678756476684,0.2717616580310881,0.3655440414507772,0.029015544041450774,1.2996632996632997,4
394-8006,95,0,156.6,88,26.62,247.6,75,21.05,192.3,115,8.65,12.3,5,3.32,3,False,608.8,283.0,59.64,0.25722733245729307,0.4067017082785808,0.31586727989487523,0.02020367936925099,2.151236749116608,4
366-9238,62,0,120.7,70,20.52,307.2,76,26.11,203.0,99,9.14,13.1,6,3.54,4,False,644.0,251.0,59.309999999999995,0.18742236024844722,0.47701863354037266,0.31521739130434784,0.020341614906832298,2.5657370517928286,4
351-7269,161,0,332.9,67,56.59,317.8,97,27.01,160.6,128,7.23,5.4,9,1.46,4,True,816.7,301.0,92.29,0.4076160156728296,0.3891269744092078,0.19664503489653481,0.006611975021427697,2.7132890365448508,4
350-8884,85,27,196.4,139,33.39,280.9,90,23.88,89.3,75,4.02,13.8,4,3.73,1,False,580.3999999999999,308.0,65.02,0.33838731909028263,0.48397656788421783,0.15385940730530673,0.023776705720192977,1.8844155844155839,0
