index,phone_number,cluster,plan_name,category,estimated_cost,suitability,final_score,rank
0,382-4657,0,All-Rounder 299,All-Rounder,299.0,0.68,0.691,1
0,382-4657,0,Lite Value 149,Lite,188.13,0.518,0.665,2
0,382-4657,0,Day Saver 249,Day,275.04,0.558,0.641,3
1,371-7191,0,All-Rounder 299,All-Rounder,300.04,0.666,0.683,1
1,371-7191,0,Lite Value 149,Lite,178.37,0.5,0.661,2
1,371-7191,0,Night Owl 199,Night,234.93,0.53,0.648,3
2,358-1921,4,Lite Value 149,Lite,169.1,0.597,0.714,1
2,358-1921,4,All-Rounder 299,All-Rounder,299.62,0.648,0.674,2
2,358-1921,4,Day Saver 249,Day,260.58,0.599,0.669,3
3,375-9999,4,Lite Value 149,Lite,178.69,0.559,0.69,1
3,375-9999,4,Day Saver 249,Day,260.54,0.615,0.677,2
3,375-9999,4,All-Rounder 299,All-Rounder,299.0,0.613,0.657,3
4,330-6626,4,Lite Value 149,Lite,165.75,0.569,0.702,1
4,330-6626,4,All-Rounder 299,All-Rounder,299.03,0.683,0.692,2
4,330-6626,4,Day Saver 249,Day,264.87,0.548,0.642,3
5,391-8027,4,All-Rounder 299,All-Rounder,299.0,0.693,0.697,1
5,391-8027,4,Lite Value 149,Lite,177.68,0.522,0.672,2
5,391-8027,4,Day Saver 249,Day,272.01,0.553,0.64,3
6,355-9993,0,All-Rounder 299,All-Rounder,302.88,0.654,0.676,1
6,355-9993,0,Lite Value 149,Lite,190.79,0.465,0.637,2
6,355-9993,0,Unlimited Talk 399,Unlimited,401.1,0.635,0.617,3
7,329-9001,4,Lite Value 149,Lite,162.76,0.571,0.704,1
7,329-9001,4,All-Rounder 299,All-Rounder,299.0,0.654,0.677,2
7,329-9001,4,Night Owl 199,Night,220.9,0.543,0.661,3
8,335-4719,4,All-Rounder 299,All-Rounder,303.13,0.646,0.671,1
8,335-4719,4,Lite Value 149,Lite,188.52,0.457,0.634,2
8,335-4719,4,Unlimited Talk 399,Unlimited,401.44,0.627,0.613,3
9,330-8173,0,All-Rounder 299,All-Rounder,301.45,0.821,0.76,1
9,330-8173,0,Night Owl 199,Night,254.77,0.675,0.71,2
9,330-8173,0,Unlimited Talk 399,Unlimited,402.14,0.802,0.7,3
10,329-6603,4,All-Rounder 299,All-Rounder,299.76,0.66,0.68,1
10,329-6603,4,Lite Value 149,Lite,176.79,0.501,0.662,2
10,329-6603,4,Night Owl 199,Night,232.72,0.512,0.64,3
11,344-9403,4,All-Rounder 299,All-Rounder,299.0,0.687,0.694,1
11,344-9403,4,Lite Value 149,Lite,167.85,0.554,0.693,2
11,344-9403,4,Day Saver 249,Day,266.85,0.553,0.643,3
12,363-1107,4,Lite Value 149,Lite,157.18,0.639,0.741,1
12,363-1107,4,All-Rounder 299,All-Rounder,299.34,0.681,0.691,2
12,363-1107,4,Day Saver 249,Day,256.69,0.554,0.649,3
13,394-8006,4,All-Rounder 299,All-Rounder,299.64,0.667,0.684,1
13,394-8006,4,Lite Value 149,Lite,176.93,0.504,0.664,2
13,394-8006,4,Night Owl 199,Night,239.84,0.494,0.627,3
14,366-9238,4,All-Rounder 299,All-Rounder,300.44,0.638,0.669,1
14,366-9238,4,Lite Value 149,Lite,184.21,0.465,0.64,2
14,366-9238,4,Night Owl 199,Night,240.78,0.493,0.626,3
15,351-7269,4,All-Rounder 299,All-Rounder,305.69,0.797,0.746,1
15,351-7269,4,Unlimited Talk 399,Unlimited,400.51,0.807,0.703,2
15,351-7269,4,Day Pro 349,Day,366.62,0.723,0.678,3
16,350-8884,0,Lite Value 149,Lite,171.51,0.508,0.668,1
16,350-8884,0,All-Rounder 299,All-Rounder,300.06,0.633,0.666,2
16,350-8884,0,Day Saver 249,Day,269.14,0.554,0.642,3
17,386-2923,4,Lite Value 149,Lite,166.37,0.557,0.695,1
17,386-2923,4,All-Rounder 299,All-Rounder,299.0,0.664,0.683,2
17,386-2923,4,Day Saver 249,Day,264.87,0.557,0.646,3
